category,ds,y
Grains,2024-04-07,168
Grains,2024-04-08,119
Grains,2024-04-09,147
Grains,2024-04-10,130
Grains,2024-04-11,163
Grains,2024-04-12,123
Grains,2024-04-13,115
Grains,2024-04-14,175
Grains,2024-04-15,127
Grains,2024-04-16,122
Grains,2024-04-17,148
Grains,2024-04-18,133
Grains,2024-04-19,146
Grains,2024-04-20,115
Grains,2024-04-21,153
Grains,2024-04-22,129
Grains,2024-04-23,130
Grains,2024-04-24,149
Grains,2024-04-25,123
Grains,2024-04-26,173
Grains,2024-04-27,194
Grains,2024-04-28,156
Grains,2024-04-29,114
Grains,2024-04-30,133
Grains,2024-05-01,154
Grains,2024-05-02,126
Grains,2024-05-03,131
Grains,2024-05-04,132
Grains,2024-05-05,161
Grains,2024-05-06,143
Grains,2024-05-07,124
Grains,2024-05-08,137
Grains,2024-05-09,142
Grains,2024-05-10,145
Grains,2024-05-11,162
Grains,2024-05-12,141
Grains,2024-05-13,135
Grains,2024-05-14,129
Grains,2024-05-15,125
Grains,2024-05-16,116
Grains,2024-05-17,149
Grains,2024-05-18,149
Grains,2024-05-19,139
Grains,2024-05-20,125
Grains,2024-05-21,129
Grains,2024-05-22,132
Grains,2024-05-23,115
Grains,2024-05-24,126
Grains,2024-05-25,154
Grains,2024-05-26,169
Grains,2024-05-27,137
Grains,2024-05-28,107
Grains,2024-05-29,119
Grains,2024-05-30,135
Grains,2024-05-31,133
Grains,2024-06-01,156
Grains,2024-06-02,199
Grains,2024-06-03,129
Grains,2024-06-04,157
Grains,2024-06-05,135
Grains,2024-06-06,118
Grains,2024-06-07,164
Grains,2024-06-08,155
Grains,2024-06-09,163
Grains,2024-06-10,146
Grains,2024-06-11,146
Grains,2024-06-12,114
Grains,2024-06-13,149
Grains,2024-06-14,139
Grains,2024-06-15,181
Grains,2024-06-16,178
Grains,2024-06-17,128
Grains,2024-06-18,140
Grains,2024-06-19,138
Grains,2024-06-20,129
Grains,2024-06-21,139
Grains,2024-06-22,128
Grains,2024-06-23,137
Grains,2024-06-24,128
Grains,2024-06-25,124
Grains,2024-06-26,166
Grains,2024-06-27,130
Grains,2024-06-28,128
Grains,2024-06-29,165
Grains,2024-06-30,158
Grains,2024-07-01,133
Grains,2024-07-02,154
Grains,2024-07-03,117
Grains,2024-07-04,142
Grains,2024-07-05,134
Grains,2024-07-06,155
Grains,2024-07-07,139
Grains,2024-07-08,131
Grains,2024-07-09,143
Grains,2024-07-10,136
Grains,2024-07-11,132
Grains,2024-07-12,151
Grains,2024-07-13,142
Grains,2024-07-14,168
Grains,2024-07-15,160
Grains,2024-07-16,119
Grains,2024-07-17,145
Grains,2024-07-18,123
Grains,2024-07-19,137
Grains,2024-07-20,150
Grains,2024-07-21,159
Grains,2024-07-22,157
Grains,2024-07-23,133
Grains,2024-07-24,138
Grains,2024-07-25,136
Grains,2024-07-26,135
Grains,2024-07-27,141
Grains,2024-07-28,163
Grains,2024-07-29,139
Grains,2024-07-30,125
Grains,2024-07-31,148
Grains,2024-08-01,131
Grains,2024-08-02,154
Grains,2024-08-03,162
Grains,2024-08-04,159
Grains,2024-08-05,133
Grains,2024-08-06,132
Grains,2024-08-07,136
Grains,2024-08-08,133
Grains,2024-08-09,131
Grains,2024-08-10,154
Grains,2024-08-11,168
Grains,2024-08-12,144
Grains,2024-08-13,122
Grains,2024-08-14,130
Grains,2024-08-15,136
Grains,2024-08-16,125
Grains,2024-08-17,161
Grains,2024-08-18,164
Grains,2024-08-19,135
Grains,2024-08-20,165
Grains,2024-08-21,99
Grains,2024-08-22,124
Grains,2024-08-23,137
Grains,2024-08-24,165
Grains,2024-08-25,174
Grains,2024-08-26,147
Grains,2024-08-27,160
Grains,2024-08-28,132
Grains,2024-08-29,125
Grains,2024-08-30,153
Grains,2024-08-31,154
Grains,2024-09-01,186
Grains,2024-09-02,125
Grains,2024-09-03,137
Grains,2024-09-04,125
Grains,2024-09-05,153
Grains,2024-09-06,133
Grains,2024-09-07,132
Grains,2024-09-08,163
Grains,2024-09-09,117
Grains,2024-09-10,119
Grains,2024-09-11,142
Grains,2024-09-12,147
Grains,2024-09-13,165
Grains,2024-09-14,173
Grains,2024-09-15,164
Grains,2024-09-16,118
Grains,2024-09-17,131
Grains,2024-09-18,110
Grains,2024-09-19,144
Grains,2024-09-20,131
Grains,2024-09-21,134
Grains,2024-09-22,142
Grains,2024-09-23,151
Grains,2024-09-24,133
Grains,2024-09-25,134
Grains,2024-09-26,125
Grains,2024-09-27,162
Grains,2024-09-28,147
Grains,2024-09-29,155
Grains,2024-09-30,149
Grains,2024-10-01,148
Grains,2024-10-02,128
Grains,2024-10-03,120
Grains,2024-10-04,137
Grains,2024-10-05,154
Grains,2024-10-06,137
Grains,2024-10-07,160
Grains,2024-10-08,151
Grains,2024-10-09,128
Grains,2024-10-10,134
Grains,2024-10-11,150
Grains,2024-10-12,168
Grains,2024-10-13,170
Grains,2024-10-14,156
Grains,2024-10-15,147
Grains,2024-10-16,117
Grains,2024-10-17,153
Grains,2024-10-18,132
Grains,2024-10-19,146
Grains,2024-10-20,147
Grains,2024-10-21,144
Grains,2024-10-22,130
Grains,2024-10-23,170
Grains,2024-10-24,134
Grains,2024-10-25,132
Grains,2024-10-26,151
Grains,2024-10-27,179
Grains,2024-10-28,146
Grains,2024-10-29,127
Grains,2024-10-30,152
Grains,2024-10-31,141
Grains,2024-11-01,119
Grains,2024-11-02,146
Grains,2024-11-03,170
Grains,2024-11-04,130
Grains,2024-11-05,142
Grains,2024-11-06,103
Grains,2024-11-07,141
Grains,2024-11-08,131
Grains,2024-11-09,154
Grains,2024-11-10,160
Grains,2024-11-11,153
Grains,2024-11-12,112
Grains,2024-11-13,119
Grains,2024-11-14,143
Grains,2024-11-15,127
Grains,2024-11-16,149
Grains,2024-11-17,149
Grains,2024-11-18,166
Grains,2024-11-19,152
Grains,2024-11-20,134
Grains,2024-11-21,147
Grains,2024-11-22,156
Grains,2024-11-23,158
Grains,2024-11-24,159
Grains,2024-11-25,136
Grains,2024-11-26,135
Grains,2024-11-27,129
Grains,2024-11-28,166
Grains,2024-11-29,158
Grains,2024-11-30,153
Grains,2024-12-01,164
Grains,2024-12-02,143
Grains,2024-12-03,134
Grains,2024-12-04,175
Grains,2024-12-05,135
Grains,2024-12-06,126
Grains,2024-12-07,164
Grains,2024-12-08,185
Grains,2024-12-09,114
Grains,2024-12-10,148
Grains,2024-12-11,133
Grains,2024-12-12,161
Grains,2024-12-13,115
Grains,2024-12-14,158
Grains,2024-12-15,167
Grains,2024-12-16,143
Grains,2024-12-17,103
Grains,2024-12-18,130
Grains,2024-12-19,152
Grains,2024-12-20,152
Grains,2024-12-21,166
Grains,2024-12-22,176
Grains,2024-12-23,131
Grains,2024-12-24,154
Grains,2024-12-25,125
Grains,2024-12-26,176
Grains,2024-12-27,138
Grains,2024-12-28,158
Grains,2024-12-29,156
Grains,2024-12-30,136
Grains,2024-12-31,158
Grains,2025-01-01,121
Grains,2025-01-02,170
Grains,2025-01-03,131
Grains,2025-01-04,174
Grains,2025-01-05,164
Grains,2025-01-06,141
Grains,2025-01-07,149
Grains,2025-01-08,145
Grains,2025-01-09,160
Grains,2025-01-10,155
Grains,2025-01-11,162
Grains,2025-01-12,171
Grains,2025-01-13,120
Grains,2025-01-14,147
Grains,2025-01-15,171
Grains,2025-01-16,140
Grains,2025-01-17,121
Grains,2025-01-18,168
Grains,2025-01-19,166
Grains,2025-01-20,173
Grains,2025-01-21,152
Grains,2025-01-22,118
Grains,2025-01-23,139
Grains,2025-01-24,143
Grains,2025-01-25,144
Grains,2025-01-26,176
Grains,2025-01-27,179
Grains,2025-01-28,124
Grains,2025-01-29,152
Grains,2025-01-30,148
Grains,2025-01-31,117
Grains,2025-02-01,173
Grains,2025-02-02,143
Grains,2025-02-03,144
Grains,2025-02-04,125
Grains,2025-02-05,128
Grains,2025-02-06,133
Grains,2025-02-07,159
Grains,2025-02-08,178
Grains,2025-02-09,148
Grains,2025-02-10,131
Grains,2025-02-11,173
Grains,2025-02-12,150
Grains,2025-02-13,145
Grains,2025-02-14,134
Grains,2025-02-15,177
Grains,2025-02-16,167
Grains,2025-02-17,129
Grains,2025-02-18,146
Grains,2025-02-19,157
Grains,2025-02-20,148
Grains,2025-02-21,148
Grains,2025-02-22,180
Grains,2025-02-23,160
Grains,2025-02-24,127
Grains,2025-02-25,159
Grains,2025-02-26,134
Grains,2025-02-27,142
Grains,2025-02-28,145
Grains,2025-03-01,165
Grains,2025-03-02,163
Grains,2025-03-03,170
Grains,2025-03-04,128
Grains,2025-03-05,143
Grains,2025-03-06,126
Grains,2025-03-07,150
Grains,2025-03-08,193
Grains,2025-03-09,176
Grains,2025-03-10,164
Grains,2025-03-11,136
Grains,2025-03-12,146
Grains,2025-03-13,125
Grains,2025-03-14,166
Grains,2025-03-15,166
Grains,2025-03-16,183
Grains,2025-03-17,138
Grains,2025-03-18,149
Grains,2025-03-19,157
Grains,2025-03-20,140
Grains,2025-03-21,159
Grains,2025-03-22,160
Grains,2025-03-23,199
Grains,2025-03-24,148
Grains,2025-03-25,138
Grains,2025-03-26,144
Grains,2025-03-27,138
Grains,2025-03-28,152
Grains,2025-03-29,186
Grains,2025-03-30,146
Grains,2025-03-31,140
Grains,2025-04-01,132
Grains,2025-04-02,148
Grains,2025-04-03,143
Grains,2025-04-04,151
Grains,2025-04-05,166
Grains,2025-04-06,169
Grains,2025-04-07,147
Grains,2025-04-08,145
Grains,2025-04-09,145
Grains,2025-04-10,155
Grains,2025-04-11,188
Grains,2025-04-12,165
Grains,2025-04-13,167
Grains,2025-04-14,154
Grains,2025-04-15,148
Grains,2025-04-16,139
Grains,2025-04-17,167
Grains,2025-04-18,166
Grains,2025-04-19,181
Grains,2025-04-20,160
Grains,2025-04-21,149
Grains,2025-04-22,143
Grains,2025-04-23,165
Grains,2025-04-24,144
Grains,2025-04-25,140
Grains,2025-04-26,169
Grains,2025-04-27,166
Grains,2025-04-28,139
Grains,2025-04-29,157
Grains,2025-04-30,171
Grains,2025-05-01,189
Grains,2025-05-02,162
Grains,2025-05-03,162
Grains,2025-05-04,142
Grains,2025-05-05,158
Grains,2025-05-06,169
Grains,2025-05-07,157
Grains,2025-05-08,166
Grains,2025-05-09,132
Grains,2025-05-10,158
Grains,2025-05-11,171
Grains,2025-05-12,127
Grains,2025-05-13,143
Grains,2025-05-14,156
Grains,2025-05-15,151
Grains,2025-05-16,155
Grains,2025-05-17,189
Grains,2025-05-18,184
Grains,2025-05-19,170
Grains,2025-05-20,116
Grains,2025-05-21,180
Grains,2025-05-22,148
Grains,2025-05-23,176
Grains,2025-05-24,176
Grains,2025-05-25,169
Grains,2025-05-26,157
Grains,2025-05-27,172
Grains,2025-05-28,161
Grains,2025-05-29,145
Grains,2025-05-30,163
Grains,2025-05-31,169
Grains,2025-06-01,162
Grains,2025-06-02,147
Grains,2025-06-03,196
Grains,2025-06-04,135
Grains,2025-06-05,162
Grains,2025-06-06,141
Grains,2025-06-07,166
Grains,2025-06-08,167
Grains,2025-06-09,146
Grains,2025-06-10,164
Grains,2025-06-11,158
Grains,2025-06-12,178
Grains,2025-06-13,131
Grains,2025-06-14,177
Grains,2025-06-15,159
Grains,2025-06-16,165
Grains,2025-06-17,116
Grains,2025-06-18,155
Grains,2025-06-19,135
Grains,2025-06-20,174
Grains,2025-06-21,169
Grains,2025-06-22,185
Grains,2025-06-23,158
Grains,2025-06-24,162
Grains,2025-06-25,177
Grains,2025-06-26,174
Grains,2025-06-27,146
Grains,2025-06-28,176
Grains,2025-06-29,193
Grains,2025-06-30,152
Grains,2025-07-01,152
Grains,2025-07-02,137
Grains,2025-07-03,148
Grains,2025-07-04,142
Grains,2025-07-05,163
Grains,2025-07-06,178
Grains,2025-07-07,159
Grains,2025-07-08,132
Grains,2025-07-09,166
Grains,2025-07-10,152
Grains,2025-07-11,164
Grains,2025-07-12,184
Grains,2025-07-13,190
Grains,2025-07-14,143
Grains,2025-07-15,179
Grains,2025-07-16,140
Grains,2025-07-17,181
Grains,2025-07-18,191
Grains,2025-07-19,172
Grains,2025-07-20,186
Grains,2025-07-21,135
Grains,2025-07-22,148
Grains,2025-07-23,156
Grains,2025-07-24,176
Grains,2025-07-25,166
Grains,2025-07-26,180
Grains,2025-07-27,186
Grains,2025-07-28,154
Grains,2025-07-29,183
Grains,2025-07-30,167
Grains,2025-07-31,153
Grains,2025-08-01,160
Grains,2025-08-02,187
Grains,2025-08-03,174
Grains,2025-08-04,141
Grains,2025-08-05,144
Grains,2025-08-06,170
Grains,2025-08-07,156
Grains,2025-08-08,144
Grains,2025-08-09,188
Grains,2025-08-10,179
Grains,2025-08-11,150
Grains,2025-08-12,138
Grains,2025-08-13,160
Grains,2025-08-14,144
Grains,2025-08-15,132
Grains,2025-08-16,169
Grains,2025-08-17,167
Grains,2025-08-18,163
Grains,2025-08-19,137
Grains,2025-08-20,147
Grains,2025-08-21,148
Grains,2025-08-22,145
Grains,2025-08-23,177
Grains,2025-08-24,164
Grains,2025-08-25,164
Grains,2025-08-26,143
Grains,2025-08-27,138
Grains,2025-08-28,171
Grains,2025-08-29,178
Grains,2025-08-30,187
Grains,2025-08-31,160
Grains,2025-09-01,159
Grains,2025-09-02,152
Grains,2025-09-03,170
Grains,2025-09-04,164
Grains,2025-09-05,171
Grains,2025-09-06,197
Grains,2025-09-07,166
Grains,2025-09-08,162
Grains,2025-09-09,171
Grains,2025-09-10,171
Grains,2025-09-11,141
Grains,2025-09-12,161
Grains,2025-09-13,179
Grains,2025-09-14,174
Grains,2025-09-15,158
Grains,2025-09-16,146
Grains,2025-09-17,154
Grains,2025-09-18,155
Grains,2025-09-19,171
Grains,2025-09-20,148
Grains,2025-09-21,189
Grains,2025-09-22,155
Grains,2025-09-23,155
Grains,2025-09-24,165
Grains,2025-09-25,153
Grains,2025-09-26,154
Grains,2025-09-27,182
Grains,2025-09-28,197
Grains,2025-09-29,181
Grains,2025-09-30,152
Grains,2025-10-01,149
Grains,2025-10-02,131
Grains,2025-10-03,142
Grains,2025-10-04,195
Grains,2025-10-05,189
Grains,2025-10-06,145
Grains,2025-10-07,158
Grains,2025-10-08,159
Grains,2025-10-09,171
Grains,2025-10-10,143
Grains,2025-10-11,180
Grains,2025-10-12,168
Grains,2025-10-13,167
Grains,2025-10-14,160
Grains,2025-10-15,179
Grains,2025-10-16,144
Grains,2025-10-17,181
Grains,2025-10-18,163
Grains,2025-10-19,142
Grains,2025-10-20,157
Grains,2025-10-21,148
Grains,2025-10-22,151
Grains,2025-10-23,180
Grains,2025-10-24,173
Grains,2025-10-25,171
Grains,2025-10-26,179
Grains,2025-10-27,158
Grains,2025-10-28,153
Grains,2025-10-29,156
Grains,2025-10-30,169
Grains,2025-10-31,187
Grains,2025-11-01,168
Grains,2025-11-02,198
Grains,2025-11-03,158
Grains,2025-11-04,138
Grains,2025-11-05,157
Grains,2025-11-06,173
Grains,2025-11-07,158
Grains,2025-11-08,196
Grains,2025-11-09,162
Grains,2025-11-10,175
Grains,2025-11-11,141
Grains,2025-11-12,205
Grains,2025-11-13,162
Grains,2025-11-14,164
Grains,2025-11-15,167
Grains,2025-11-16,184
Grains,2025-11-17,161
Grains,2025-11-18,160
Grains,2025-11-19,165
Grains,2025-11-20,187
Grains,2025-11-21,160
Grains,2025-11-22,204
Grains,2025-11-23,172
Grains,2025-11-24,151
Grains,2025-11-25,173
Grains,2025-11-26,138
Grains,2025-11-27,153
Grains,2025-11-28,160
Grains,2025-11-29,181
Grains,2025-11-30,192
Grains,2025-12-01,151
Grains,2025-12-02,155
Grains,2025-12-03,151
Grains,2025-12-04,180
Grains,2025-12-05,144
Grains,2025-12-06,183
Grains,2025-12-07,159
Grains,2025-12-08,163
Grains,2025-12-09,168
Grains,2025-12-10,187
Grains,2025-12-11,172
Grains,2025-12-12,147
Grains,2025-12-13,187
Grains,2025-12-14,191
Grains,2025-12-15,171
Grains,2025-12-16,177
Grains,2025-12-17,165
Grains,2025-12-18,172
Grains,2025-12-19,166
Grains,2025-12-20,186
Grains,2025-12-21,155
Grains,2025-12-22,146
Grains,2025-12-23,213
Grains,2025-12-24,193
Grains,2025-12-25,154
Grains,2025-12-26,158
Grains,2025-12-27,156
Grains,2025-12-28,167
Grains,2025-12-29,142
Grains,2025-12-30,145
Grains,2025-12-31,152
Grains,2026-01-01,188
Grains,2026-01-02,167
Grains,2026-01-03,187
Grains,2026-01-04,181
Grains,2026-01-05,154
Grains,2026-01-06,181
Grains,2026-01-07,198
Grains,2026-01-08,149
Grains,2026-01-09,176
Grains,2026-01-10,179
Grains,2026-01-11,180
Grains,2026-01-12,180
Grains,2026-01-13,149
Grains,2026-01-14,169
Grains,2026-01-15,192
Grains,2026-01-16,172
Grains,2026-01-17,187
Grains,2026-01-18,175
Grains,2026-01-19,173
Grains,2026-01-20,179
Grains,2026-01-21,188
Grains,2026-01-22,176
Grains,2026-01-23,149
Grains,2026-01-24,207
Grains,2026-01-25,194
Grains,2026-01-26,139
Grains,2026-01-27,163
Grains,2026-01-28,160
Grains,2026-01-29,164
Grains,2026-01-30,137
Grains,2026-01-31,172
Grains,2026-02-01,194
Grains,2026-02-02,181
Grains,2026-02-03,158
Grains,2026-02-04,181
Grains,2026-02-05,187
Grains,2026-02-06,161
Grains,2026-02-07,176
Grains,2026-02-08,173
Grains,2026-02-09,138
Grains,2026-02-10,148
Grains,2026-02-11,191
Grains,2026-02-12,124
Grains,2026-02-13,166
Grains,2026-02-14,187
Grains,2026-02-15,186
Grains,2026-02-16,165
Grains,2026-02-17,144
Grains,2026-02-18,159
Grains,2026-02-19,143
Grains,2026-02-20,201
Grains,2026-02-21,196
Grains,2026-02-22,177
Grains,2026-02-23,182
Grains,2026-02-24,158
Grains,2026-02-25,171
Grains,2026-02-26,174
Grains,2026-02-27,170
Grains,2026-02-28,164
Grains,2026-03-01,164
Grains,2026-03-02,185
Grains,2026-03-03,170
Grains,2026-03-04,178
Grains,2026-03-05,163
Grains,2026-03-06,165
Grains,2026-03-07,186
Grains,2026-03-08,185
Grains,2026-03-09,160
Grains,2026-03-10,162
Grains,2026-03-11,173
Grains,2026-03-12,181
Grains,2026-03-13,158
Grains,2026-03-14,167
Grains,2026-03-15,215
Grains,2026-03-16,156
